ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
301511.SZ,20260703,147.56,161.31,145.57,153.1,145.61,7.49,5.1439,364002.33,5633925.81005
301511.SZ,20260702,145.69,161.97,139.8,145.61,155.02,-9.41,-6.0702,344886.81,5184339.58907
301511.SZ,20260701,141.5,164.38,141.41,155.02,143.85,11.17,7.765,475017.97,7428598.39552
301511.SZ,20260630,141.96,146.3,138.21,143.85,139.45,4.4,3.1553,358607.87,5100360.99179
301511.SZ,20260629,155.0,161.5,133.03,139.45,155.3,-15.85,-10.2061,446117.96,6397200.42403
301511.SZ,20260626,147.07,156.22,143.53,155.3,152.55,2.75,1.8027,391003.97,5880530.60085
301511.SZ,20260625,143.0,155.56,140.33,152.55,144.0,8.55,5.9375,384122.32,5703285.50135
301511.SZ,20260624,142.88,148.55,141.16,144.0,140.08,3.92,2.7984,403919.89,5835077.25429
301511.SZ,20260623,162.0,162.0,138.78,140.08,164.12,-24.04,-14.6478,514797.32,7482366.07467
301511.SZ,20260622,164.1,171.58,154.02,164.12,160.9,3.22,2.0012,421350.88,6841672.19649
301511.SZ,20260618,158.0,164.9,154.66,160.9,162.8,-1.9,-1.1671,357601.92,5728490.92661
301511.SZ,20260617,166.0,175.75,156.8,162.8,169.63,-6.83,-4.0264,476453.44,7857705.10611
301511.SZ,20260616,161.0,178.88,159.08,169.63,161.07,8.56,5.3145,419966.43,6993324.31538
301511.SZ,20260615,144.0,162.2,143.87,161.07,138.26,22.81,16.4979,370061.7,5709656.41561
301511.SZ,20260612,139.0,148.26,135.23,138.26,133.57,4.69,3.5113,397681.4,5610146.52699
301511.SZ,20260611,137.0,139.39,129.66,133.57,137.1,-3.53,-2.5748,339977.12,4541923.93173
301511.SZ,20260610,132.58,140.55,129.59,137.1,136.8,0.3,0.2193,333692.24,4521060.18073
301511.SZ,20260609,128.0,138.87,125.0,136.8,123.08,13.72,11.1472,394527.52,5218309.63713
301511.SZ,20260608,111.58,127.1,111.58,123.08,119.5,3.58,2.9958,343870.56,4177692.928
301511.SZ,20260605,117.73,125.0,115.1,119.5,122.31,-2.81,-2.2974,340889.94,4103096.798
301511.SZ,20260604,121.02,124.61,115.5,122.31,124.53,-2.22,-1.7827,365812.67,4409834.21
301511.SZ,20260603,120.95,129.29,117.2,124.53,127.02,-2.49,-1.9603,471448.11,5806848.154
301511.SZ,20260602,125.0,128.87,118.89,127.02,128.53,-1.51,-1.1748,455962.1,5649174.564
301511.SZ,20260601,124.0,132.29,118.0,128.53,125.62,2.91,2.3165,467381.0,5848581.133
301511.SZ,20260529,119.59,135.7,118.51,125.62,119.52,6.1,5.1037,538266.96,6905667.03
301511.SZ,20260528,105.97,124.0,103.5,119.52,105.3,14.22,13.5043,546635.35,6183429.102
301511.SZ,20260527,110.99,111.68,103.6,105.3,107.32,-2.02,-1.8822,322245.31,3452331.943
301511.SZ,20260526,106.0,110.0,102.77,107.32,108.18,-0.86,-0.795,333655.03,3567660.039
301511.SZ,20260525,110.6,113.9,105.19,108.28,108.5,-0.22,-0.2028,345281.48,3749210.176
301511.SZ,20260522,98.25,112.99,98.25,108.5,98.25,10.25,10.4326,399309.28,4255128.692
301511.SZ,20260521,109.99,111.89,97.87,98.25,109.6,-11.35,-10.3558,400212.43,4133946.031
301511.SZ,20260520,100.0,111.37,97.11,109.6,100.39,9.21,9.1742,362750.22,3790479.588
301511.SZ,20260519,97.03,102.23,96.5,100.39,96.81,3.58,3.698,317857.79,3165840.832
301511.SZ,20260518,92.4,99.89,90.08,96.81,91.71,5.1,5.561,352085.76,3361747.875
301511.SZ,20260515,95.12,95.5,89.15,91.71,93.88,-2.17,-2.3115,384550.05,3531929.065
301511.SZ,20260514,96.06,99.68,93.75,93.88,102.16,-8.28,-8.1049,477760.42,4595221.109
301511.SZ,20260513,92.0,105.49,90.2,102.16,93.88,8.28,8.8198,431116.69,4260051.851
301511.SZ,20260512,92.0,95.05,90.82,93.88,92.87,1.01,1.0875,399156.11,3717353.149
301511.SZ,20260511,94.14,97.6,88.7,92.87,94.6,-1.73,-1.8288,561253.57,5160120.084
301511.SZ,20260508,90.6,97.5,89.29,94.6,92.74,1.86,2.0056,451656.15,4279940.234
301511.SZ,20260507,89.02,94.8,84.65,92.74,90.24,2.5,2.7704,490356.37,4448396.218
301511.SZ,20260506,77.08,90.24,76.04,90.24,75.2,15.04,20.0,442029.56,3669854.554
301511.SZ,20260430,70.0,76.34,69.5,75.2,72.0,3.2,4.4444,543320.7,3972811.828
301511.SZ,20260429,67.72,73.61,67.24,72.0,67.69,4.31,6.3673,546552.71,3863278.25
301511.SZ,20260428,67.02,70.79,66.3,67.69,67.5,0.19,0.2815,475759.69,3240900.964
301511.SZ,20260427,63.27,69.11,62.09,67.5,60.26,7.24,12.0146,601141.44,3960258.799
301511.SZ,20260424,63.0,63.37,58.91,60.26,63.38,-3.12,-4.9227,451534.33,2731625.574
301511.SZ,20260423,65.56,66.63,61.69,63.38,64.27,-0.89,-1.3848,453779.51,2870287.852
301511.SZ,20260422,61.99,65.82,61.3,64.27,60.81,3.46,5.6899,479089.38,3056906.736
301511.SZ,20260421,52.3,62.68,51.66,60.81,52.86,7.95,15.0397,549600.35,3217999.33
301511.SZ,20260420,50.66,54.27,50.22,52.86,50.28,2.58,5.1313,387602.82,2053344.019
301511.SZ,20260417,47.9,51.47,47.4,50.28,47.92,2.36,4.9249,406134.17,2010965.191
301511.SZ,20260416,46.99,48.18,46.15,47.92,47.06,0.86,1.8275,285437.11,1353616.26
301511.SZ,20260415,46.92,49.0,46.5,47.06,45.85,1.21,2.639,464197.46,2209000.253
301511.SZ,20260414,45.95,47.48,44.45,45.85,45.4,0.45,0.9912,446252.96,2054932.333
301511.SZ,20260413,43.4,46.1,43.33,45.4,43.76,1.64,3.7477,443989.23,1996753.731
301511.SZ,20260410,44.55,45.22,43.43,43.76,44.99,-1.23,-2.7339,416505.33,1841990.08
301511.SZ,20260409,40.85,45.77,40.6,44.99,41.19,3.8,9.2255,518804.01,2261912.326
301511.SZ,20260408,40.87,41.19,39.31,41.19,39.5,1.69,4.2785,363747.63,1472637.311
301511.SZ,20260407,38.79,40.6,38.26,39.5,37.81,1.69,4.4697,365169.55,1448035.571
301511.SZ,20260403,38.4,39.49,37.8,37.81,38.16,-0.35,-0.9172,176073.71,676336.519
301511.SZ,20260402,39.07,39.65,37.72,38.16,39.55,-1.39,-3.5145,207163.51,799189.931
301511.SZ,20260401,39.9,41.15,39.0,39.55,38.95,0.6,1.5404,297334.97,1183512.495
301511.SZ,20260331,39.97,40.13,38.23,38.95,40.24,-1.29,-3.2058,239723.37,935853.509
301511.SZ,20260330,38.24,40.74,37.96,40.24,38.7,1.54,3.9793,331103.94,1308871.61
301511.SZ,20260327,37.5,40.35,36.43,38.7,38.05,0.65,1.7083,310106.16,1190692.82
301511.SZ,20260326,37.9,39.5,37.12,38.05,37.64,0.41,1.0893,274955.05,1059177.5
301511.SZ,20260325,37.76,38.43,36.81,37.64,37.19,0.45,1.21,266354.29,1004107.385
301511.SZ,20260324,35.0,37.3,33.9,37.19,34.35,2.84,8.2678,343361.8,1223321.26
301511.SZ,20260323,35.52,36.65,34.02,34.35,36.04,-1.69,-4.6892,267630.99,945826.737
301511.SZ,20260320,37.54,37.99,35.98,36.04,36.95,-0.91,-2.4628,224224.5,832645.886
