ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
001309.SZ,20260702,829.54,872.83,806.0,811.0,893.22,-82.22,-9.2049,160377.78,13360288.3541
001309.SZ,20260701,945.0,976.0,880.0,893.22,942.9,-49.68,-5.2689,163542.86,15230925.479
001309.SZ,20260630,935.0,957.99,898.0,942.9,970.0,-27.1,-2.7938,131073.15,12225718.6515
001309.SZ,20260629,939.95,978.0,886.66,970.0,951.0,19.0,1.9979,171300.09,16064949.6725
001309.SZ,20260626,881.1,980.0,872.31,951.0,891.0,60.0,6.734,218734.57,19976189.3438
001309.SZ,20260625,830.0,891.0,829.19,891.0,810.0,81.0,10.0,202888.57,17667610.8972
001309.SZ,20260624,759.0,816.88,743.51,810.0,755.01,54.99,7.2833,182022.02,14330311.182
001309.SZ,20260623,730.0,796.0,706.0,755.01,737.07,17.94,2.434,171855.13,12904474.2646
001309.SZ,20260622,726.0,740.0,706.0,737.07,712.0,25.07,3.5211,151961.59,11026685.3735
001309.SZ,20260618,702.0,736.0,698.08,712.0,709.62,2.38,0.3354,160788.55,11466900.1395
001309.SZ,20260617,642.0,720.0,633.5,709.62,655.66,53.96,8.2299,171738.93,11617412.9982
001309.SZ,20260616,649.66,664.99,633.2,655.66,641.86,13.8,2.15,120557.9,7818738.44239
001309.SZ,20260615,632.0,643.68,608.14,641.86,617.43,24.43,3.9567,112302.69,7099791.45385
001309.SZ,20260612,662.1,664.0,617.43,617.43,632.35,-14.92,-2.3595,152458.25,9860822.05024
001309.SZ,20260611,630.0,638.05,617.0,632.35,627.95,4.4,0.7007,86063.83,5398573.51522
001309.SZ,20260610,619.75,640.63,612.63,627.95,625.74,2.21,0.3532,96313.12,6046295.52431
001309.SZ,20260609,605.55,629.25,598.5,625.74,588.1,37.64,6.4003,106237.04,6540883.41744
001309.SZ,20260608,568.18,609.0,568.18,588.1,630.5,-42.4,-6.7248,112051.52,6633702.613
001309.SZ,20260605,655.55,665.38,623.82,630.5,680.85,-50.35,-7.3952,165280.73,10653611.988
001309.SZ,20260604,612.58,680.85,612.58,680.85,618.95,61.9,10.0008,191661.24,12689023.776
001309.SZ,20260603,600.0,639.99,598.0,618.95,605.9,13.05,2.1538,125917.01,7834263.326
001309.SZ,20260602,600.0,611.66,583.0,605.9,597.41,8.49,1.4211,110273.65,6626039.258
001309.SZ,20260601,641.4,646.0,597.0,597.41,640.0,-42.59,-6.6547,121728.45,7477473.565
001309.SZ,20260529,669.0,679.58,630.0,640.0,657.35,-17.35,-2.6394,125844.78,8201852.886
001309.SZ,20260528,655.02,669.5,633.89,657.35,665.0,-7.65,-1.1504,109700.31,7184730.581
001309.SZ,20260527,680.0,703.0,660.8,665.0,659.1,5.9,0.8952,158845.01,10816617.189
001309.SZ,20260526,688.05,688.05,643.0,659.1,695.0,-35.9,-5.1655,136401.14,8963021.515
001309.SZ,20260525,669.99,698.5,657.01,695.0,674.0,21.0,3.1157,133567.48,9096243.902
001309.SZ,20260522,671.0,680.39,651.02,674.0,656.1,17.9,2.7282,132272.32,8845020.88
001309.SZ,20260521,707.0,709.8,652.88,656.1,695.96,-39.86,-5.7273,142761.15,9719422.574
001309.SZ,20260520,705.0,717.45,685.0,695.96,699.16,-3.2,-0.4577,128465.23,8973392.493
001309.SZ,20260519,712.0,716.0,672.94,699.16,735.04,-35.88,-4.8814,150561.66,10485795.109
001309.SZ,20260518,707.0,743.56,702.58,735.04,712.06,22.98,3.2273,167160.48,12179367.626
001309.SZ,20260515,722.01,759.99,697.62,712.06,721.65,-9.59,-1.3289,213475.29,15439481.232
001309.SZ,20260514,699.0,739.48,689.0,721.65,679.8,41.85,6.1562,190781.97,13808374.818
001309.SZ,20260513,595.24,679.8,595.24,679.8,618.0,61.8,10.0,168739.36,10833359.298
001309.SZ,20260512,630.56,633.5,610.0,618.0,639.21,-21.21,-3.3182,150166.43,9290278.36
001309.SZ,20260511,631.11,644.96,616.13,639.21,597.71,41.5,6.9432,180514.55,11449432.25
001309.SZ,20260508,599.23,609.98,592.9,597.71,616.51,-18.8,-3.0494,150562.56,9042535.96
001309.SZ,20260507,603.0,633.0,597.0,616.51,577.29,39.22,6.7938,252913.31,15581304.658
001309.SZ,20260506,570.0,577.29,560.38,577.29,524.81,52.48,9.9998,78830.04,4518856.919
001309.SZ,20260430,517.71,535.0,509.01,524.81,522.93,1.88,0.3595,193544.27,10143598.92
001309.SZ,20260429,491.22,525.0,485.5,522.93,496.39,26.54,5.3466,175813.1,8888423.742
001309.SZ,20260428,496.93,510.0,486.22,496.39,488.15,8.24,1.688,132252.31,6602728.749
001309.SZ,20260427,492.21,495.0,484.0,488.15,489.88,-1.73,-0.3531,114372.15,5596950.52
001309.SZ,20260424,491.0,500.82,482.6,489.88,494.69,-4.81,-0.9723,132575.61,6533969.037
001309.SZ,20260423,539.0,544.93,487.0,494.69,525.0,-30.31,-5.7733,212498.48,10762906.507
001309.SZ,20260422,514.71,530.0,509.96,525.0,514.6,10.4,2.021,141661.92,7354936.974
001309.SZ,20260421,515.0,521.6,498.9,514.6,515.0,-0.4,-0.0777,113102.84,5778275.898
001309.SZ,20260420,518.88,538.0,512.0,515.0,513.69,1.31,0.255,137146.25,7126107.952
001309.SZ,20260417,510.0,519.24,490.0,513.69,516.8,-3.11,-0.6018,154793.44,7819481.31
001309.SZ,20260416,490.0,529.98,486.0,516.8,501.2,15.6,3.1125,167202.26,8563904.881
001309.SZ,20260415,501.2,520.0,496.0,501.2,500.63,0.57,0.1139,167000.61,8431528.746
001309.SZ,20260414,485.19,510.9,481.0,500.63,481.49,19.14,3.9752,203780.92,10164487.485
001309.SZ,20260413,450.15,488.5,450.15,481.49,447.24,34.25,7.6581,216109.72,10120092.937
001309.SZ,20260410,428.0,447.24,423.0,447.24,406.58,40.66,10.0005,232257.44,10190105.316
001309.SZ,20260409,383.19,417.84,380.38,406.58,393.3,13.28,3.3766,178215.44,7170035.86
001309.SZ,20260408,390.04,395.5,375.01,393.3,378.18,15.12,3.9981,195236.86,7528351.022
001309.SZ,20260407,355.8,382.88,352.0,378.18,352.02,26.16,7.4314,154318.22,5760681.111
001309.SZ,20260403,364.8,366.66,352.02,352.02,360.15,-8.13,-2.2574,114756.01,4108073.146
001309.SZ,20260402,378.88,379.6,358.2,360.15,371.98,-11.83,-3.1803,189725.55,6941387.994
001309.SZ,20260401,417.67,417.67,364.46,371.98,379.7,-7.72,-2.0332,303740.15,11826932.922
001309.SZ,20260331,380.3,393.17,363.74,380.1,400.3,-20.2,-5.0462,210720.84,7920856.633
001309.SZ,20260330,375.88,401.59,375.88,400.3,381.89,18.41,4.8208,163009.79,6425188.908
001309.SZ,20260327,360.09,382.9,357.0,381.89,378.86,3.03,0.7998,138053.96,5127780.742
001309.SZ,20260326,361.02,383.0,361.02,378.86,375.17,3.69,0.9836,164537.1,6157241.927
001309.SZ,20260325,354.94,378.0,350.43,375.17,349.63,25.54,7.3049,202216.96,7412965.511
001309.SZ,20260324,317.79,351.8,306.1,349.63,321.0,28.63,8.919,222427.79,7272280.227
001309.SZ,20260323,320.0,331.8,315.0,321.0,331.52,-10.52,-3.1733,144681.03,4670664.128
001309.SZ,20260320,349.5,351.0,330.33,331.52,345.0,-13.48,-3.9072,158799.66,5401441.942
001309.SZ,20260319,357.0,362.0,342.1,345.0,374.0,-29.0,-7.754,195160.69,6826999.556
001309.SZ,20260318,359.0,374.0,355.0,374.0,354.0,20.0,5.6497,192482.57,7061636.929
001309.SZ,20260317,345.0,359.96,342.0,354.0,352.06,1.94,0.551,194093.87,6867033.124
001309.SZ,20260316,318.0,352.06,309.51,352.06,320.05,32.01,10.0016,266264.61,8848646.823
001309.SZ,20260313,296.22,322.85,295.02,320.05,293.5,26.55,9.046,220301.73,6929269.536
001309.SZ,20260312,299.92,305.92,289.26,293.5,298.64,-5.14,-1.7211,126989.39,3763344.933
001309.SZ,20260311,294.01,309.66,293.0,298.64,294.81,3.83,1.2991,217878.51,6567605.944
001309.SZ,20260310,288.0,299.59,281.0,294.81,280.0,14.81,5.2893,176651.61,5128144.467
001309.SZ,20260309,267.82,280.0,263.3,280.0,271.12,8.88,3.2753,184769.32,5026224.916
001309.SZ,20260306,256.07,277.6,256.07,271.12,256.11,15.01,5.8608,174102.5,4689683.919
001309.SZ,20260305,257.0,266.34,254.0,256.11,251.57,4.54,1.8047,200278.99,5198675.013
001309.SZ,20260304,240.0,251.57,238.68,251.57,228.7,22.87,10.0,195654.3,4878285.276
001309.SZ,20260303,245.0,246.53,227.0,228.7,246.55,-17.85,-7.2399,102945.2,2412996.63
001309.SZ,20260302,249.09,254.0,245.28,246.55,255.95,-9.4,-3.6726,96825.37,2397212.568
001309.SZ,20260227,252.45,256.5,248.2,255.95,256.48,-0.53,-0.2066,88510.98,2238093.534
001309.SZ,20260226,251.03,256.58,246.27,256.48,250.73,5.75,2.2933,80829.29,2031628.919
001309.SZ,20260225,252.0,252.33,245.21,250.73,255.99,-5.26,-2.0548,77284.73,1918651.991
001309.SZ,20260224,254.0,258.86,250.0,255.99,249.29,6.7,2.6876,81433.93,2082400.173
001309.SZ,20260213,235.86,254.26,235.01,249.29,239.88,9.41,3.9228,124867.56,3084333.738
001309.SZ,20260212,238.98,240.65,235.6,239.88,235.97,3.91,1.657,88460.67,2106067.821
001309.SZ,20260211,234.89,240.68,234.65,235.97,237.55,-1.58,-0.6651,70051.97,1666987.577
001309.SZ,20260210,238.06,239.86,234.68,237.55,240.98,-3.43,-1.4234,61374.82,1455191.109
001309.SZ,20260209,238.01,241.5,234.32,240.98,232.94,8.04,3.4515,69647.0,1664577.683
001309.SZ,20260206,235.0,236.5,229.0,232.94,237.53,-4.59,-1.9324,71712.85,1669552.451
001309.SZ,20260205,238.0,242.72,235.1,237.53,245.48,-7.95,-3.2386,77259.56,1837414.582
001309.SZ,20260204,248.8,248.8,240.65,245.48,252.59,-7.11,-2.8148,77219.7,1887434.794
001309.SZ,20260203,255.03,257.62,248.0,252.59,248.51,4.08,1.6418,90879.19,2293690.729
001309.SZ,20260202,263.0,265.57,247.29,248.51,271.8,-23.29,-8.5688,136889.68,3470296.117
001309.SZ,20260130,269.38,280.0,268.0,271.8,270.24,1.56,0.5773,114215.71,3129425.223
001309.SZ,20260129,282.0,288.88,270.01,270.24,278.22,-7.98,-2.8682,134556.33,3752619.316
001309.SZ,20260128,280.88,282.95,272.0,278.22,278.25,-0.03,-0.0108,117968.25,3275793.9
001309.SZ,20260127,272.0,279.5,263.58,278.25,274.8,3.45,1.2555,130176.06,3569075.778
001309.SZ,20260126,278.71,284.0,268.24,274.8,278.7,-3.9,-1.3994,101993.48,2803162.254
001309.SZ,20260123,279.0,289.71,275.0,278.7,287.29,-8.59,-2.99,149624.41,4188278.6
001309.SZ,20260122,300.0,308.0,284.49,287.29,285.16,2.13,0.7469,223704.97,6571658.159
